,TrainPerScore,TestPerScore,CVPerScore,TrainNegRMSErr,TestNegRMSErr,CVNegRMSErr,TrainNegMAErr,TestNegMAErr,CVNegMAErr
0.15,100.0,88.6595580861,94.9253106514,0.0,-944.139820154,-573.854704522,0.0,-728.260869565,-333.170028818
0.194736842105,100.0,88.4397618937,95.6746187142,0.0,-877.606057012,-506.515986366,0.0,-715.108695652,-261.622222222
0.239473684211,100.0,88.3661485961,97.0379571771,0.0,-907.28393044,-449.208489621,0.0,-727.5,-203.772563177
0.284210526316,100.0,88.941805094,97.488829428,0.0,-861.124770033,-412.812494059,0.0,-675.543478261,-180.837138508
0.328947368421,100.0,90.429220202,97.6187387862,0.0,-879.026140977,-375.171620825,0.0,-679.347826087,-143.837056505
0.373684210526,100.0,89.8821232617,98.1843327981,0.0,-798.532621642,-332.814352933,0.0,-635.217391304,-121.585648148
0.418421052632,100.0,89.4115897302,98.1666741664,0.0,-876.555759778,-341.361820598,0.0,-690.0,-131.136363636
0.463157894737,100.0,89.440763455,98.7241128421,0.0,-862.302277274,-271.717400016,0.0,-692.173913043,-83.2959850607
0.507894736842,100.0,90.1438870826,98.992868641,0.0,-817.795950951,-260.150856399,0.0,-625.760869565,-72.0680851064
0.552631578947,100.0,90.017660839,99.0365985037,0.0,-829.931898725,-247.605749527,0.0,-634.347826087,-73.8654147105
0.597368421053,100.0,90.0130772981,99.0258561121,0.0,-821.058436728,-245.668702591,0.0,-650.0,-70.4341534009
0.642105263158,100.0,89.890875832,99.1390505199,0.0,-822.23185136,-241.012734201,0.0,-649.347826087,-67.4074074074
0.686842105263,100.0,90.024554514,99.3148587562,0.0,-805.220736682,-202.087750196,0.0,-630.434782609,-49.7482693518
0.731578947368,100.0,89.7098125587,99.2568717016,0.0,-830.211471227,-226.622466487,0.0,-655.108695652,-58.7529550827
0.776315789474,100.0,89.7006090336,99.2991603498,0.0,-828.560170731,-210.29423125,0.0,-658.586956522,-51.1748329621
0.821052631579,100.0,90.0758605953,99.5016381577,0.0,-821.923116049,-183.715958613,0.0,-644.673913043,-42.0326487625
0.865789473684,100.0,89.9615967883,99.5651623181,0.0,-827.550734029,-180.277840708,0.0,-654.673913043,-37.6185721418
0.910526315789,100.0,90.0568537053,99.5634013804,0.0,-824.099640451,-171.448496332,0.0,-646.413043478,-35.6885090218
0.955263157895,100.0,89.9418487078,99.5923785438,0.0,-813.777423902,-166.869092757,0.0,-640.760869565,-33.5791855204
1.0,100.0,90.17554436,99.6756202406,0.0,-812.426585312,-151.228289935,0.0,-636.086956522,-27.5789018591
