,TrainScore,TestScore,CVScore
0.15,99.9426403087,84.6827372519,99.8634910307
0.194736842105,99.9484972079,84.6088246772,99.8841573758
0.239473684211,99.9462735462,84.5217901905,99.9073175963
0.284210526316,99.9560591306,84.4954903681,99.9250771945
0.328947368421,99.9591765917,84.4752000693,99.9392446789
0.373684210526,99.9591065478,84.4463322659,99.9373745795
0.418421052632,99.964012293,84.4333111336,99.9496687934
0.463157894737,99.9622898945,84.4091504682,99.9441317901
0.507894736842,99.9655743544,84.4061287265,99.9537479004
0.552631578947,99.968056643,84.3875327796,99.9576002236
0.597368421053,99.9680718593,84.3794543518,99.9566103516
0.642105263158,99.9679556072,84.3706915591,99.9579718952
0.686842105263,99.9699617027,84.3576657119,99.9602339595
0.731578947368,99.9695064634,84.3573709602,99.9620399719
0.776315789474,99.9722525643,84.3463058673,99.9647670828
0.821052631579,99.9724066833,84.3428463195,99.965853463
0.865789473684,99.973570409,84.3293706636,99.966738581
0.910526315789,99.973667748,84.3262708665,99.967359805
0.955263157895,99.9745041664,84.3244105742,99.9689172862
1.0,99.975137864,84.3190451163,99.9697806482
