,r2_LC-Train,r2_LC-CV,neg_mean_absolute_error_LC-Train,neg_mean_absolute_error_LC-CV,neg_mean_squared_error_LC-Train,neg_mean_squared_error_LC-CV
0.15,0.999999136415,0.997546311159,-3.21301917124,-133.638053689,-16.3202614174,-53951.595846
0.194736842105,0.999998764915,0.99978955851,-3.57114031136,-35.5578617376,-22.2486662249,-4546.75656759
0.239473684211,0.999999336509,0.999912556366,-2.97566187814,-20.3898899223,-14.007088442,-1859.23338449
0.284210526316,0.999999467166,0.999961165452,-2.52053745965,-12.5010759552,-10.993444907,-820.263707449
0.328947368421,0.999999591495,0.999972753666,-2.30609420034,-10.1319324337,-9.19973235723,-573.90231397
0.373684210526,0.999999652246,0.999975729894,-2.16569271828,-9.19371650102,-8.0711613825,-511.18620347
0.418421052632,0.999999689306,0.999977817201,-2.02049619476,-8.77695762744,-7.05962398906,-467.375771531
0.463157894737,0.999999719467,0.999979253625,-1.92035013317,-8.33038452431,-6.45059181241,-437.419198832
0.507894736842,0.999999739301,0.999980564131,-1.89671325868,-8.0786925283,-6.23109408812,-409.587481295
0.552631578947,0.999999756738,0.999982376228,-1.84496747243,-7.80449984609,-5.79958956464,-371.491066319
0.597368421053,0.999999778596,0.999983453724,-1.75849513985,-7.37164417504,-5.43189096041,-348.571700633
0.642105263158,0.999999827496,0.999990557848,-1.53136369882,-5.6494541518,-4.08996920204,-199.138514173
0.686842105263,0.99999983811,0.999990739816,-1.47063700325,-5.57919383264,-3.8064733191,-195.301462293
0.731578947368,0.999999877614,0.99999936618,-1.27938295235,-2.22233711721,-2.86857800287,-13.9247804494
0.776315789474,0.999999881072,0.999999731413,-1.25424814057,-1.78052024165,-2.73011738278,-5.89906143242
0.821052631579,0.999999891986,0.999999744067,-1.21096988385,-1.72555421499,-2.55521295143,-5.63388707759
0.865789473684,0.999999896926,0.999999756626,-1.17340129423,-1.6779272041,-2.39773647647,-5.37014750034
0.910526315789,0.999999899392,0.99999976082,-1.14773509536,-1.64862757843,-2.30618124631,-5.29821143155
0.955263157895,0.999999902542,0.999999768016,-1.1121996433,-1.61508775563,-2.18657589135,-5.16030019456
1.0,0.999999904471,0.999999779462,-1.08685118042,-1.57618774098,-2.09340694379,-4.91119362763
