,TrainNegPercent,TestNegPercent,CVNegPercent,TrainNegRMSErr,TestNegRMSErr,CVNegRMSErr,TrainNegMAErr,TestNegMAErr,CVNegMAErr
0.0,-109.246589707,-67.4023439686,-115.156183849,-3727.61000712,-3128.73978453,-3928.61466778,-2697.23205772,-1984.87800475,-2962.38964761
0.1,-109.246151962,-67.4021693815,-115.15560938,-3727.60606058,-3128.73727461,-3928.60986476,-2697.23002204,-1984.86933661,-2962.38577421
0.2,-109.245253593,-67.4019591686,-115.15442545,-3727.59405616,-3128.73335293,-3928.59648661,-2697.20819317,-1984.87383828,-2962.36381237
0.4,-109.239037966,-67.397487153,-115.152157474,-3727.57203783,-3128.68195312,-3928.56121925,-2697.16102685,-1984.75985993,-2962.32229916
0.6,-109.241614873,-67.3969307607,-115.15582657,-3727.67886716,-3128.70494877,-3928.61781654,-2697.2832064,-1984.72981654,-2962.38833323
0.8,-109.240032648,-67.3955183047,-115.159317222,-3727.73314342,-3128.69170412,-3928.66420665,-2697.35147156,-1984.68750528,-2962.47026653
1.0,-109.242135102,-67.3956484268,-115.165136385,-3727.87160515,-3128.72205328,-3928.77692183,-2697.4552488,-1984.69101468,-2962.56247404
1.1,-109.260546767,-67.4067340321,-115.167776254,-3728.02990458,-3128.85451538,-3928.94003531,-2697.6787654,-1985.04628551,-2962.72473422
1.4,-109.278747553,-67.41250367,-115.175425858,-3728.47093282,-3128.99020521,-3929.27550405,-2698.12399516,-1985.11872092,-2963.05100817
1.7,-109.292754932,-67.4144608704,-115.192279342,-3728.97144637,-3129.09734442,-3929.67442592,-2698.54148943,-1985.13479119,-2963.50110888
2.0,-109.318537912,-67.417928369,-115.209643939,-3729.81286559,-3129.2761344,-3930.28111202,-2699.50071628,-1985.19969297,-2964.12606362
2.5,-109.352229638,-67.4381514449,-115.227581674,-3730.60228079,-3129.61066642,-3930.85624913,-2700.37310015,-1985.72341334,-2964.65589685
3.0,-109.371729059,-67.4428219551,-115.235589436,-3731.60124395,-3129.78309306,-3931.6305811,-2701.36746236,-1985.75264368,-2965.35651003
3.5,-109.417361068,-67.4353572289,-115.285780151,-3734.09031393,-3130.1609946,-3933.65031667,-2703.9026708,-1985.51954236,-2967.46982133
4.0,-109.509172261,-67.4561817839,-115.349164086,-3737.22037908,-3130.9115625,-3936.03084371,-2707.35664407,-1986.02012406,-2969.8485736
5.0,-109.675240246,-67.5178246251,-115.449048984,-3741.64485247,-3132.28381096,-3939.66483847,-2711.71502256,-1987.12629256,-2973.47269901
6.0,-109.799946083,-67.5322482389,-115.514624912,-3747.5303422,-3133.30441579,-3944.70437668,-2717.87660855,-1987.51435577,-2978.59428838
7.0,-109.966894323,-67.5592266051,-115.703346649,-3755.14016109,-3134.86468149,-3950.93646135,-2725.45659254,-1988.08993601,-2985.1267467
8.0,-110.128936377,-67.5451434046,-115.876230671,-3764.90084338,-3136.1976217,-3959.37193231,-2734.9109517,-1988.06383411,-2993.67878454
9.0,-110.54851405,-67.6540029003,-116.175588774,-3778.6730659,-3139.56464243,-3970.83973845,-2749.79149813,-1990.39676778,-3005.42490861
