,Percent Error,kNN Score,kNN Std,DTree Score,DTree Std,SVR Score,SVR Std
0.0,0.0,0.8851491946713397,0.009711010088068583,0.9905448468908091,0.0021765421060321215,0.8488554116784183,0.01663900100559132
0.1,0.1,0.8843612555301343,0.008850513273381537,0.9774764559512648,0.004220461891539855,0.8487505641287754,0.016706354557378334
0.2,0.2,0.8811942091281543,0.008524296113383713,0.9693881197174863,0.002765736491519762,0.848525119683579,0.016697821867582126
0.3,0.3,0.8759881383206138,0.007979647624214974,0.9502917842532581,0.006287918602537641,0.8475236497463451,0.016653925049452588
0.4,0.4,0.8710411524789873,0.006112107632947243,0.9342159504046357,0.012932195498871778,0.846378727479201,0.017014124473737586
0.5,0.5,0.8679401041346727,0.007145714990372919,0.9208801878689746,0.02035225724105478,0.8452179563795497,0.016670978854107177
0.6,0.6,0.8625649023269096,0.008227956287367368,0.9176033770170202,0.01231990337066916,0.8427494794565759,0.016632586207734522
0.7,0.7,0.8554699712012971,0.012590702644343022,0.8884955019237903,0.007887013403523532,0.8400252699405932,0.016855147704670427
0.8,0.8,0.853346586899313,0.010846357337319118,0.8772495528941929,0.01826180195045765,0.8382109568752997,0.016483403365429486
0.9,0.9,0.8459797562940871,0.012766391766289362,0.8486237375196399,0.01007304696850239,0.8350027539332489,0.016704564362113667
1.0,1.0,0.8438463915469379,0.011657599477908424,0.8271821981400926,0.019992711904515827,0.8304029013261802,0.016983225967427518
1.1,1.1,0.837396049431374,0.0095435872711321,0.8245362387081121,0.02042579599503073,0.8284107337607759,0.01700028245899827
1.2,1.2,0.8360125687338986,0.010807812796342846,0.7927250631730738,0.027363435559952024,0.8247415905495815,0.017538290106623253
1.3,1.3,0.8307547436758294,0.014816391778947627,0.7792199193446964,0.014309575144915215,0.8214141283125069,0.017010804448729315
1.4,1.4,0.8246483662020913,0.013617705770459933,0.7808471560860141,0.017226128292446997,0.8176293825695777,0.016843261168811186
1.5,1.5,0.8210204132668976,0.01606538838061472,0.7830682773514757,0.017404606484797115,0.8148087945279834,0.017256909084472784
1.6,1.6,0.8228800718423168,0.01389960265166457,0.7566681470230703,0.02001086665504748,0.8108347545133663,0.017403201066484974
1.7,1.7,0.8129855812046543,0.01628656250973958,0.7334091975262887,0.017291913801392098,0.8058945757834783,0.017023678991123194
1.8,1.8,0.8087914242029945,0.015677447582306894,0.7419723064300608,0.00578757356358217,0.8015831167473341,0.017191527657064734
1.9,1.9,0.8040113693101205,0.01703706778525077,0.7070572162362414,0.016325534523099098,0.7976814705519286,0.01739993571831065
2.0,2.0,0.7997288239407909,0.018389729647348436,0.72252343294512,0.028599924325262285,0.79302087058456,0.01751451894346122
2.25,2.25,0.7993004351201536,0.018280157369992073,0.7057826402839015,0.026955281785246154,0.7902168000202524,0.017190308009155403
2.5,2.5,0.7959861012075411,0.012982445877519455,0.6985868137746574,0.009801500245002438,0.785721136567599,0.016832593652533843
2.75,2.75,0.7817013981952788,0.017986570310491966,0.6603604067366511,0.011208793897514904,0.7817916914518668,0.017552684372770525
3.0,3.0,0.7686088750639981,0.015154077242339041,0.6463446217355967,0.013442510685409042,0.7773595797056595,0.0170161666729676
3.25,3.25,0.7628686004865115,0.014884428998334951,0.6364474303991503,0.01977873666184811,0.7728609218337766,0.016696203811558487
3.5,3.5,0.7560264573593207,0.009259938955042797,0.6331570035872085,0.014895853442308338,0.76928510990436,0.01814375771643726
3.75,3.75,0.7516481737735015,0.008289551861456494,0.6074959810068519,0.016492166397527295,0.7625781493316259,0.01789754185428113
4.0,4.0,0.7431338260165743,0.01688825675882378,0.6078134116203955,0.03622601388365334,0.7578167106684413,0.01792863116152604
4.25,4.25,0.7337947836663717,0.012938229364699134,0.5973478075320251,0.010359695366800618,0.7532806106973196,0.01770592407396301
4.5,4.5,0.7333353612945828,0.00671390970788898,0.603375045683618,0.02752275930747124,0.7484373449084764,0.017121993723351745
4.75,4.75,0.7246794236977013,0.00918290795933923,0.5721380914592001,0.023400075841766493,0.7421961595080128,0.017236551383573426
5.0,5.0,0.7241432356238338,0.006109626956543368,0.5726991551616114,0.016647532421570087,0.7363736044596653,0.017134433721718727
5.5,5.5,0.7119772585941944,0.018184302620709306,0.5595327860090128,0.014241584578491496,0.7309161921654398,0.017548239401535316
6.0,6.0,0.7028170473618415,0.014109322006653295,0.5346983026979298,0.027624749688452844,0.7273100416597218,0.016983177599390362
6.5,6.5,0.701204233796256,0.014446508367748145,0.5271594374470366,0.014368537447769362,0.7225002048477203,0.017921739213699734
7.0,7.0,0.6928746616095995,0.020694633283931188,0.5270815450643526,0.020004686224624032,0.7161149276179983,0.01838365155028369
7.5,7.5,0.6911774824450273,0.016950524930163243,0.5020511276534012,0.04384690401931107,0.710502328296793,0.019872936219616943
8.0,8.0,0.6800064796008204,0.010743562336821371,0.5012898932588452,0.004848552995483362,0.7050532825619081,0.01867973966113528
8.5,8.5,0.6753990501359785,0.013182544579547952,0.468967734336153,0.02925498939751491,0.699199687160398,0.0174013360236719
9.0,9.0,0.6618873130219957,0.015587794381124315,0.47441221375740456,0.028227874545554407,0.6928568773383091,0.01839080650680894
10.0,10.0,0.6470842461640631,0.009269570111478232,0.4508566362120005,0.013860798229022931,0.6886083945344931,0.018119510904392032
13.0,13.0,0.6442056546282569,0.011443956435624191,0.43656474593908623,0.0563419996483273,0.6774712359411603,0.019185541808362388
17.0,17.0,0.6147202738874462,0.015619922458974367,0.4279896681878913,0.024636602383632758,0.6619717260020385,0.01972591916484261
20.0,20.0,0.5894527616968507,0.02276883387813852,0.3890996442525358,0.023495746356348657,0.6495203254652769,0.02099612027552559
