,fit_time,score_time,test_accuracy,algorithm
0,0.11720466613769531,0.07396578788757324,0.9989795918367347,knn
1,0.10055351257324219,0.06595993041992188,0.992849846782431,knn
2,0.10086536407470703,0.06750774383544922,0.9918200408997955,knn
3,0.10538673400878906,0.07423210144042969,0.9928425357873211,knn
4,0.10065054893493652,0.0682375431060791,0.99079754601227,knn
5,0.10056567192077637,0.0687556266784668,0.9887525562372188,knn
6,0.10443854331970215,0.0702207088470459,0.9969293756397134,knn
7,0.10067224502563477,0.06730127334594727,0.9907881269191402,knn
8,0.10090017318725586,0.06942296028137207,0.9928352098259979,knn
9,0.10050773620605469,0.07162904739379883,0.9918116683725691,knn
0,0.046860694885253906,0.001918792724609375,0.9693877551020408,rr
1,0.08128643035888672,0.0018279552459716797,0.9775280898876404,rr
2,0.0835123062133789,0.00182342529296875,0.9713701431492843,rr
3,0.0833888053894043,0.0018458366394042969,0.9713701431492843,rr
4,0.08340573310852051,0.0018343925476074219,0.976482617586912,rr
5,0.08846664428710938,0.0018360614776611328,0.976482617586912,rr
6,0.08343386650085449,0.0018029212951660156,0.9713408393039918,rr
7,0.08329629898071289,0.0018243789672851562,0.9744114636642784,rr
8,0.08330631256103516,0.0018193721771240234,0.9713408393039918,rr
9,0.0844125747680664,0.0018186569213867188,0.9672466734902764,rr
0,0.27948975563049316,0.0153961181640625,0.9959183673469387,svr
1,0.276491641998291,0.014066219329833984,0.9897854954034729,svr
2,0.25499391555786133,0.014486312866210938,0.9928425357873211,svr
3,0.2803804874420166,0.014142990112304688,0.9928425357873211,svr
4,0.2523665428161621,0.01406717300415039,0.9887525562372188,svr
5,0.27837276458740234,0.015186786651611328,0.9928425357873211,svr
6,0.2547447681427002,0.015022754669189453,0.9948822927328557,svr
7,0.2517571449279785,0.01580667495727539,0.9928352098259979,svr
8,0.25377798080444336,0.014815807342529297,0.9969293756397134,svr
9,0.2660408020019531,0.014235973358154297,0.9897645854657113,svr
