TrainSizeFrac,AbsTrainSize,TrainScore,TrainStd,CV-Score,CV-Std,Algorithm
0.1,476,1.0,0.0,0.9852370317146276,0.0017091322943860328,knn
0.2,952,1.0,0.0,0.9874625574575857,0.001171355987916312,knn
0.3,1428,1.0,0.0,0.9890919943450317,0.00037740046624691007,knn
0.4,1904,1.0,0.0,0.9902507932693281,0.00044218063030044565,knn
0.5,2380,1.0,0.0,0.9908997607830428,0.0004473995959818176,knn
0.55,2618,1.0,0.0,0.9910707018644465,0.0005203902573309245,knn
0.6,2856,0.9999984883698982,3.023260203516287e-06,0.9912813253485571,0.0004965683674852182,knn
0.65,3094,0.999998613321256,2.7733574880617342e-06,0.991408946835918,0.00045829771936887424,knn
0.7,3332,0.9999987072930804,2.585413839373274e-06,0.9915331999380239,0.00041337935770154364,knn
0.75,3570,0.9999976159115853,2.92007073084129e-06,0.9917002430766153,0.00038336285234425187,knn
0.8,3808,0.9999977638236264,2.7390084486807787e-06,0.9919131581571914,0.0004669859081310682,knn
0.85,4046,0.9999978859902063,2.5894684659401437e-06,0.9921548689901203,0.00040146467780224156,knn
0.9,4284,0.9999980005628263,2.4490591356961405e-06,0.9923091067388041,0.000490276240554079,knn
0.95,4522,0.9999981023223841,2.3243252746465033e-06,0.9923853920958532,0.0004324157191708775,knn
1.0,4760,0.9999972951501068,2.208590457516517e-06,0.9926088039988713,0.0004676046543308177,knn
0.1,476,1.0,0.0,0.9789103878788425,0.0005278727621785515,dtree
0.2,952,1.0,0.0,0.9822472657528174,0.0013965750030627577,dtree
0.3,1428,0.9999969814530789,6.0370938419929125e-06,0.9842543737550283,0.0005379763690976829,dtree
0.4,1904,0.9999977801455968,4.439708806458498e-06,0.9859390502124965,0.0015906915002473134,dtree
0.5,2380,0.9999982173010495,3.5653979009175885e-06,0.9882771314864218,0.001168727530556097,dtree
0.55,2618,0.9999983917495001,3.2165009995477334e-06,0.9890103849102644,0.0006325349825980277,dtree
0.6,2856,0.9999985244800218,2.9510399562671096e-06,0.9893757713312935,0.0009540901775320645,dtree
0.65,3094,0.9999986335566173,2.732886765288711e-06,0.9901697063183654,0.0011757337487803233,dtree
0.7,3332,0.9999987413947368,2.5172105265092172e-06,0.9906479484951927,0.001113423192762502,dtree
0.75,3570,0.9999976193705014,2.9157690637914187e-06,0.9905375126883031,0.0009151598249155597,dtree
0.8,3808,0.9999977553426553,2.7491743242056387e-06,0.9912861407475966,0.0010036766219111795,dtree
0.85,4046,0.9999978944217649,2.578866084705316e-06,0.992372428308855,0.0008248071275771748,dtree
0.9,4284,0.9999980057681086,2.4424422009349163e-06,0.992212423519781,0.0008932616166993235,dtree
0.95,4522,0.999996215267722,1.8924165556949142e-06,0.9926487723813644,0.0008991847125535815,dtree
1.0,4760,0.9999963952775637,1.8023901513283179e-06,0.9934679429064147,0.0009007268033398562,dtree
0.1,476,0.995765393254118,0.0009398748668470403,0.9578430012154551,0.00684065111319004,svr
0.2,952,0.9945985490479936,0.000311250800968562,0.9805520045060033,0.0028264252858517546,svr
0.3,1428,0.9942351070012961,0.00046143160289243334,0.9849805636375981,0.0017086035423220871,svr
0.4,1904,0.9936817102929257,0.0003984991392012938,0.9866423709756781,0.001919360910973649,svr
0.5,2380,0.993438462435998,0.00020634145146644167,0.9882074059246652,0.0005310403163417207,svr
0.55,2618,0.9932707646945047,0.0001691871341853168,0.9886798925158043,0.0005996114986576643,svr
0.6,2856,0.9932443171486179,0.00012686211442973825,0.988818971366423,0.0007220560959468663,svr
0.65,3094,0.9931564891137856,0.0001241293670269786,0.9889334198550814,0.0009247776869623748,svr
0.7,3332,0.993107151642042,0.00013572339415847257,0.9889253122623669,0.0008524152828819171,svr
0.75,3570,0.9930977030530705,0.0001422197321775488,0.9891026662146476,0.0008643772740756399,svr
0.8,3808,0.9930343950839953,0.000124429043706481,0.9891272429031597,0.00080167862783142,svr
0.85,4046,0.9929830500947638,0.00011458029199064017,0.9891836677423204,0.0007830340759704194,svr
0.9,4284,0.9929937344444616,0.00014274677361689832,0.9893741033393215,0.0007745678528746125,svr
0.95,4522,0.992998548199403,0.00014952580960883789,0.9894678910440708,0.0007772273274339596,svr
1.0,4760,0.9929459730743035,4.900991648552759e-05,0.9895103375030467,0.0006839691072322965,svr
