,fit_time,score_time,test_r2,test_explained_variance,test_neg_mean_absolute_error,Algorithm
0,0.5435731410980225,12.483606576919556,0.8494105063371586,0.8502584363035206,-232.3969705428008,knn
1,0.5884301662445068,12.817406415939331,0.8558364873823187,0.8558576135409427,-230.51581119517897,knn
2,0.5450081825256348,12.764639139175415,0.8464061039394444,0.8465038060223787,-229.0577783122514,knn
3,0.5753283500671387,12.709392547607422,0.8595897216181537,0.8596206062958501,-230.64852399145926,knn
4,0.4219205379486084,5.888756990432739,0.8613339574430413,0.8619390686117346,-219.56431974256225,knn
0,0.6172215938568115,0.006535053253173828,0.8925287281324257,0.8925289404561529,-173.67762396303885,dtree
1,0.6092329025268555,0.0075228214263916016,0.8751873497654804,0.8752598496088411,-174.55819031969392,dtree
2,0.6536581516265869,0.007097482681274414,0.8728397321364406,0.8728506649848198,-192.42464414934463,dtree
3,0.6179068088531494,0.005578756332397461,0.898679122074626,0.8986826063150507,-170.66920621305445,dtree
4,0.3916196823120117,0.004054546356201172,0.8619089689985919,0.862068395399984,-196.63422043382008,dtree
0,2172.120922803879,14.51700758934021,0.9330666413575301,0.9334148831831637,-134.46719308714108,svr
1,2057.0785760879517,15.087129354476929,0.9217955178481053,0.9219267725944875,-153.9332501056199,svr
2,2301.9653124809265,9.272141218185425,0.9294790817679435,0.9298728966023615,-130.3037372439252,svr
3,2321.038580417633,8.697530508041382,0.9277658248604254,0.9282241389840056,-144.82276467281346,svr
4,1221.5029373168945,7.679524898529053,0.9272541528993409,0.9282244532324966,-134.2180406946614,svr
